Title,Home,Away,Court,Date,Time,Score,Winner,HomeScore,AwayScore
The Retaliators vs Clipp'yers,The Retaliators,Clipp'yers,Redwest,07/09/2024,4:30,,The Retaliators,42.0,0.0
Subject to change vs The Windows Warriors,Subject to change,The Windows Warriors,92,07/09/2024,4:30,,Subject to change,42.0,24.0
MSFT intern team vs MSFT Hooperz,MSFT intern team,MSFT Hooperz,43,07/09/2024,4:30,,MSFT intern team,42.0,0.0
Seattle Sonics vs The PowerPoint Guards,Seattle Sonics,The PowerPoint Guards,Redwest,07/09/2024,5:30,,Seattle Sonics,42.0,30.0
Bilal Coulibaly Fans vs. DART Team,Bilal Coulibaly Fans,DART Team,43,07/10/2024,5:30,,,0.0,0.0
breakfast table vs. WeStayBallin,breakfast table,WeStayBallin,92,07/10/2024,4:30,,,0.0,0.0
The Retaliators vs Subject to change,The Retaliators,Subject to change,92,07/12/2024,4:30,,,0.0,0.0
Clipp'yers vs MSFT intern team,Clipp'yers,MSFT intern team,43,07/12/2024,4:30,,,0.0,0.0
The Windows Warriors vs Seattle Sonics,The Windows Warriors,Seattle Sonics,Redwest,07/12/2024,4:30,,,0.0,0.0
MSFT Hooperz vs The PowerPoint Guards,MSFT Hooperz,The PowerPoint Guards,92,07/12/2024,5:30,,,0.0,0.0
The Retaliators vs The Windows Warriors,The Retaliators,The Windows Warriors,43,07/16/2024,4:30,,,0.0,0.0
Clipp'yers vs MSFT Hooperz,Clipp'yers,MSFT Hooperz,92,07/16/2024,4:30,,,0.0,0.0
Subject to change vs Seattle Sonics,Subject to change,Seattle Sonics,Redwest,07/16/2024,4:30,,,0.0,0.0
MSFT intern team vs The PowerPoint Guards,MSFT intern team,The PowerPoint Guards,43,07/16/2024,5:30,,,0.0,0.0
Africa vs. WeStayBallin,Africa,WeStayBallin,43,07/17/2024,4:30,,,0.0,0.0
DART Team vs. breakfast table,DART Team,breakfast table,92,07/17/2024,4:30,,,0.0,0.0
The Retaliators vs MSFT intern team,The Retaliators,MSFT intern team,92,07/19/2024,4:30,,,0.0,0.0
Clipp'yers vs Seattle Sonics,Clipp'yers,Seattle Sonics,43,07/19/2024,4:30,,,0.0,0.0
Subject to change vs MSFT Hooperz,Subject to change,MSFT Hooperz,Redwest,07/19/2024,4:30,,,0.0,0.0
The Windows Warriors vs The PowerPoint Guards,The Windows Warriors,The PowerPoint Guards,43,07/19/2024,5:30,,,0.0,0.0
The Retaliators vs Seattle Sonics,Seattle Sonics,The Retaliators,Redwest,07/23/2024,4:30,,,0.0,0.0
Clipp'yers vs The PowerPoint Guards,The PowerPoint Guards,Clipp'yers,43,07/23/2024,4:30,,,0.0,0.0
Subject to change vs MSFT intern team,MSFT intern team,Subject to change,92,07/23/2024,4:30,,,0.0,0.0
The Windows Warriors vs MSFT Hooperz,MSFT Hooperz,The Windows Warriors,Redwest,07/23/2024,5:30,,,0.0,0.0
Bilal Coulibaly Fans vs. breakfast table,Bilal Coulibaly Fans,breakfast table,92,07/24/2024,4:30,,,0.0,0.0
